ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
35,gaps multibeam echo sounder coverage missed features,Bathymetric Data Products,Terrain And Bathymetry,{'Bathymetric Data Products': 3},{'Terrain And Bathymetry': 3},False,False,False
35,gaps multibeam echo sounder coverage missed features,Bathymetric Data Products,Terrain And Bathymetry,{'Bathymetric Data Products': 3},{'Terrain And Bathymetry': 3},False,False,False
36,sensor degradation calibration drift,Physical Processes,Environmental And Oceanographic Conditions,{'Physical Processes': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
36,sensor degradation calibration offset,uncategorised,uncategorised,{},{},False,False,False
37,inability detect critical seabed features due resolution limits,Seafloor Characterization,Terrain And Bathymetry,"{'Seafloor Characterization': 1, 'Bathymetric Data Products': 1, 'Data Quality': 1}","{'Terrain And Bathymetry': 2, 'Data Products And Requirements': 1}",False,False,False
37,inability detect vital seabed features region resolution limits,Seafloor Characterization,Terrain And Bathymetry,"{'Seafloor Characterization': 1, 'Bathymetric Data Products': 1, 'Data Quality': 1}","{'Terrain And Bathymetry': 2, 'Data Products And Requirements': 1}",False,False,False
38,environmental anomalies affecting acoustic performance,Environmental Context,Environmental And Oceanographic Conditions,{'Environmental Context': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
38,environmental anomalies affecting acoustic performance,Environmental Context,Environmental And Oceanographic Conditions,{'Environmental Context': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
231,potential likelihood collision,uncategorised,uncategorised,{},{},False,False,False
231,potential likelihood collision,uncategorised,uncategorised,{},{},False,False,False
232,estimated battery completion mission,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
232,estimated battery completion task,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
233,potential acoustic communications performance issues,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
233,potential acoustic communications performance issues,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
234,factor damage grounding event occurs,uncategorised,uncategorised,{},{},False,False,False
234,factor telemetry grounding event occurs,Control Systems,Communications And Control,{'Control Systems': 1},{'Communications And Control': 1},False,False,False
235,coverage area operations achievable time limitations,Bathymetric Data Products,Terrain And Bathymetry,{'Bathymetric Data Products': 1},{'Terrain And Bathymetry': 1},False,False,False
235,coverage area operations achievable time threshold,Bathymetric Data Products,Terrain And Bathymetry,{'Bathymetric Data Products': 1},{'Terrain And Bathymetry': 1},False,False,False
236,potential buoyancy factors water column information,Measurement And Models,Environmental And Oceanographic Conditions,{'Measurement And Models': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
236,potential buoyancy factors aquatic column information,uncategorised,uncategorised,{},{},False,False,False
237,total time location surface,uncategorised,uncategorised,{},{},False,False,False
237,total time location top layer,uncategorised,uncategorised,{},{},False,False,False
